,name,description
341,Hotbit,"The people behind Hotbit outlines on their website that they believe in the core values of blockchain technology and Bitcoin. They feel that these principles, along with those of smart contracts and a distributed ledger, change the way that people trust each other. The team also feels that via blockchain technology, there will be an increased transactional efficiency, fewer barriers in place to stop transactions, and eventually, a large impact on the global economy."
342,Bittex,
343,SecondBTC,
344,Altilly,
345,PulseX,"PulseX is PulseChain's exchange
PulseX enables you to exchange tokens (""PRC20s"") on PulseChain for one another. For example you could swap PulseChain's native token PLS for PulseX's token PLSX. It works like Uniswap on Ethereum. Bridges also let people trade currencies from other chains on PulseX."
346,Gate.io,Gate.io is a cryptocurrency exchange platform that started in 2017; the site is available in both English and Chinese and provides access to a wide range of cryptocurrencies. The team behind the exchange utilize both cold storage and a hot wallet in order to store funds and client accounts are secured by using two factor authentication and a combination of passwords.
347,Kyber Network,"Founded by Loi Luu, Victor Tran, and Yaron Velner in 2017, Kyber Network currently functions as a decentralized Ethereum-based exchange platform. Kyber provides detailed information on the team behind it, but company is not regulated."
348,Poloniex,"Poloniex is a digital asset exchange offering a wide variety of digital assets. Founded in January 2014, Poloniex offers trading environment and provides advanced charts and data analysis tools to its customers."
349,Coineal,"Coineal, found online at Coineal.com, is a cryptocurrency exchange founded by a team based in South Korea and China. The exchange was announced on April 24, 2018. Coineal currently maintains offices in South Korea and China. They’re also planning to launch offices in Japan, Singapore, the United States, Russia, and other countries. "
350,Crypto Hub,
351,Deribit,"Deribit is live since June 2016 after several years of development. John Jansen, the original founder teamed up with Marius Jansen, Sebastian Smyczýnski and Andrew Yanovsky. Deribit started as a Bitcoin Futures and Options trading platform going live in the summer of 2016.

Deribit has been created as an answer to those in search of a professional fully dedicated cryptocurrencies futures and options trading platform. A service that can create a fully liquid marketplace with the same standards as a traditional derivatives market."
352,ForkDelta,"ForkDelta is a decentralized exchange that offers many ERC20 (Ethereum) tokens for trade and keeps adding new ones (free of charge). As the name suggests, this exchange is a fork of EtherDelta and uses the smart contract of the latter. Any member of the ForkDelta community that participated in an ICO can request a token to be listed on ForkDelta."
353,Bitica,"Benefits of Bitica Exhange is an advanced trading platform that is designed for experienced digital assets traders and specializes in Altcoins.
"
354,BiteBTC,BiteBTC is a cryptocurrency exchange from Singapore. It launched in January 2018.
355,CriptoHub,"CriptoHub is the exchange with the highest amount of trading pairs, lowest rates and only one with affiliate program in Brazil."
356,BTCsquare,
357,BTCEX,"BTCEX is a highly extensible digital asset trading platform, which provides spot, spot leverage, futures, perpetual contracts, and USDT-settled options. In addition, it also supports multi-product portfolio margin models to improve the utilization of user funds."
358,Bittrex,"Bittrex was started in 2014 by Co-Founder and CEO Bill Shihara, who drew on his experience as a security engineer at Amazon and Blackberry when creating the exchange. Bittrex currently lists hundreds of coins and also offers users hundreds of cryptocurrency trading pairs."
359,PayCml,
360,ISX,"ISX is an Icelandic cryptocurrency exchange. It offers trading in two coins against the Icelandic national currency ISK: BTC and AUR. This Icelandic exchange offers wire transfer as a deposit method. You cannot, however, deposit funds through your debit or credit card."
361,FreiExchange,"FreiExchange is a Norwegian exchange which mainly facilitates altcoin trading. Founded in 2016, it is developed by a group of professionals, who are connected to a longstanding coin - Freicoin."
362,Lbank,"Founded in October 2016, LBank is a digital asset trading platform for global users to provide professional asset management solutions. At present, LBank offers BTC to BTC, ETH, ZEC, QTUM, VEN's digital asset exchange service and have over 2.6 million of registered users."
363,Korbit,"Korbit exchange is a Korean exchange that deals in some of the major cryptocurrencies. Korbit operated the first exchange between Bitcoin and Korean won (KRW). Korbit powered by Bitgo for multi-sig technology. In this process, every transaction needs to be approved by two or more users to complete the process. This adds an extra layer of security on the account."
364,Lydia Finance,"Lydia Finance is an audited Automated Market Maker, Yield Farming, and Staking platform on Avalanche. We have a dedicated team of experienced devs, who have been in the crypto space for years. $LYD is the native currency of our platform. Stake, pool, and earn $LYD and many other token utilities all on Lydia Finance."
365,TOPBTC,"TopBTC is a Chinese crypto-to-crypto exchange registered on Malta, which facilitates trading in a wide range of altcoins."
366,Cobinhood,"Cobinhood claims to be the world’s first cryptocurrency exchange with zero trading fees. The exchange has no fees on spot trading and margin trading up to 10x leverage. At the same time, Cobinhood is developing an ICO underwriting service. Companies – including new blockchain startups and existing enterprises – can launch an ICO through Cobinhood and enjoy compliance testing, security auditing, and other services."
